url,keywords,hits,total,status,assigned_to,notes,last_updated
https://example.com,,0,5,todo,,,2025-09-01 13:40:58
https://www.niras.dk/,"bæredygtig*, grøn, grønne",5,5,todo,,,2025-09-01 13:42:53
https://www.niras.dk/baeredygtighed/,"bæredygtig*, grønne",27,27,todo,,,2025-09-04 06:55:49
https://www.niras.dk/greensition/,"grøn, grønne",8,8,todo,,,2025-09-01 13:42:53
https://www.niras.dk/karriere/,bæredygtig*,1,1,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/byggeri/,"bæredygtig*, grønne",4,4,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/data-digitalisering/,bæredygtig*,1,1,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/energi/,"bæredygtig*, grøn, grønne, co2-neutral",10,10,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/foedevarer/,bæredygtig*,6,6,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/infrastruktur/,"bæredygtig*, grøn",9,9,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/miljoe/,bæredygtig*,1,1,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/pharma-life-science/,bæredygtig*,2,2,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/planlaegning-mobilitet/,"bæredygtig*, grøn, miljøvenlig",12,12,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/vand/,bæredygtig*,5,5,todo,,,2025-09-01 13:42:53
https://www.niras.dk/projekter/,bæredygtig*,2,2,done,,,2025-10-06 08:47:16
https://www.niras.dk/nyheder/niras-bistaar-i-nyt-kunstnerisk-byrum-i-oerestad/,grøn,1,1,todo,,,2025-09-01 13:42:53
https://www.niras.dk/projekter/lego-innovation-campus/,bæredygtig*,7,7,todo,,,2025-09-01 13:42:53
https://www.niras.dk/karriere/here-we-grow/,bæredygtig*,1,1,todo,,,2025-09-01 13:42:53
https://www.niras.dk/projekter/saerlig-lokation-saerlig-raadgivning-den-nye-nuuk-lufthavn-er-resultatet-af-en-tvaerfaglig-holdindsats/,miljøvenlig,1,1,todo,,,2025-09-01 13:42:53
https://www.niras.dk/nyheder/heineken-i-nzp/,bæredygtig*,2,2,todo,,,2025-09-01 13:42:53
https://www.niras.dk/podcast/,"bæredygtig*, grønne",6,6,todo,,,2025-09-01 13:42:53
https://www.niras.dk/nyhedsbrev/,"bæredygtig*, grøn",4,4,todo,,,2025-09-01 13:42:53
https://www.niras.dk/arrangementer/grundvandsbeskyttelse-og-groen-trepart-webinar2/,"grøn, grønne",4,4,todo,,,2025-09-01 13:42:53
https://www.niras.dk/arrangementer/risikovurdering-af-pfas-i-jord/,bæredygtig*,2,2,todo,,,2025-09-01 13:42:53
https://www.niras.dk/arrangementer/,"bæredygtig*, grøn",10,10,todo,,,2025-09-01 13:42:53
https://www.niras.dk/indsigt/,bæredygtig*,2,2,done,,,2025-10-06 08:47:16
https://www.niras.dk/om-niras/,"bæredygtig*, grøn, co2-neutral",8,8,todo,,,2025-09-01 13:42:53
https://www.niras.dk/eu-taksonomi/,"bæredygtig*, klimaneutral*",13,13,todo,,,2025-09-01 13:42:53
https://www.niras.dk/projekter/niras-deltager-i-internationalt-forskningsprojekt-om-at-skabe-fremtidens-baeredygtige-byer/,"bæredygtig*, klimaneutral*",11,11,todo,,,2025-09-01 13:42:53
https://www.niras.dk/csrd-baeredygtighedsrapportering/,"bæredygtig*, grønne",4,4,todo,,,2025-09-01 13:42:53
https://www.niras.dk/biodiversitet/,"bæredygtig*, grøn",7,7,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/byggeri/baeredygtigt-byggeri/,bæredygtig*,9,9,todo,,,2025-09-01 13:42:53
https://www.niras.dk/baeredygtighed/baeredygtighedsnetvaerk/,bæredygtig*,10,10,todo,,,2025-09-01 13:42:53
https://www.niras.dk/baeredygtighed/sdg-absolute/,"bæredygtig*, grøn",15,15,todo,,,2025-09-01 13:42:53
https://www.niras.dk/baeredygtighed/sdg-capture/,bæredygtig*,3,3,todo,,,2025-09-01 13:42:53
https://www.niras.dk/baeredygtighed/sdg-measure/,"bæredygtig*, miljørigtig",22,22,todo,,,2025-09-01 13:42:53
https://www.niras.dk/baeredygtighed/sdg-initiator/,bæredygtig*,4,4,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/miljoe/miljoe-og-klimaaftryk-livscyklusvurdering-miljoevaredeklaration-og-klimaregnskab/,"bæredygtig*, grøn, grønne",12,12,todo,,,2025-09-01 13:42:53
https://www.niras.dk/indsigt/saadan-binder-dashboards-bim-og-ikt-sammen-i-komplekse-byggerier/,klimavenlig,2,2,todo,,,2025-09-01 13:42:53
https://www.niras.dk/nyheder/gron-energi-strategi/,"grøn, grønne",15,15,todo,,,2025-09-01 13:42:53
https://www.niras.dk/karriere/moed-en-medarbejder/naar-mod-er-en-vigtig-ingrediens-i-fremtidens-braendstoffer/,"bæredygtig*, grønne",6,6,todo,,,2025-09-01 13:42:53
https://www.niras.dk/nyheder/danmarks-stoerste-havvindmoellepark-faar-groent-lys/,grøn,2,2,todo,,,2025-09-01 13:42:53
https://www.niras.dk/projekter/integrated-designs-for-future-floating-offshore-wind-farm-technology-inf4inity/,"bæredygtig*, grønne, klimaneutral*",6,6,todo,,,2025-09-01 13:42:53
https://www.niras.dk/projekter/topsoe-bygger-kaempefabrik-til-produktion-af-elektrolysekomponenter/,grøn,4,4,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/energi/vind/,"bæredygtig*, grønne",3,3,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/energi/energiproduktion-og-energidistribution/,grøn,2,2,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/energi/power-grids-og-net-tilslutning-af-vedvarende-energi/,"grøn, grønne",2,2,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/pharma-life-science/elektrificering-af-industriel-produktion/,"bæredygtig*, grønne",8,8,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/planlaegning-mobilitet/groen-mobilitet-og-ladestanderinfrastruktur/,"bæredygtig*, grøn, grønne",10,10,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/energi/power-grids-og-nettilslutning-af-vedvarende-energi/,"grøn, grønne",2,2,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/energi/solenergi-og-bioenergi/,bæredygtig*,1,1,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/energi/carbon-capture-og-power-to-x/,"bæredygtig*, grøn, grønne",9,9,todo,,,2025-09-01 13:42:53
https://www.niras.dk/sektorer/byggeri/energi-og-indeklima/,bæredygtig*,1,1,todo,,,2025-09-01 13:42:53
